headline,date,doc_type,author,section,url,news_desk,material_type,word_count,keywords
Technology Briefing | Internet: Hispanics' Use Of Web Surges,2002-07-17,article,['Allison NYT'],,https://www.nytimes.com/2002/07/17/business/technology-briefing-internet-hispanics-use-of-web-surges.html,Business/Financial Desk,News,123.0,"[('organizations', 'Nielsen/net Ratings'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Computers and the Internet')]"
An Indian's Success Enhances South Asians' Political Clout,2002-06-23,article,"[""Jim O'Grady""]",,https://www.nytimes.com/2002/06/23/nyregion/neighborhood-report-southern-queens-indian-s-success-enhances-south-asians.html,The City Weekly Desk,News,362.0,"[('glocations', 'New York City'), ('persons', 'SENGUPTA, UMA'), ('subject', 'Elections'), ('subject', 'Asian-Americans')]"
A Slaying in 1982 Maintains Its Grip on Asian-Americans,2002-06-18,article,['Lynette Clemetson'],,https://www.nytimes.com/2002/06/18/us/a-slaying-in-1982-maintains-its-grip-on-asian-americans.html,National Desk,News,1490.0,"[('persons', 'Chin, Vincent'), ('persons', 'NITZ, MICHAEL'), ('persons', 'EBENS, RONALD'), ('subject', 'Social Conditions and Trends'), ('subject', 'Probation and Parole'), ('subject', 'Fines (Penalties)'), ('subject', 'Murders and Attempted Murders'), ('subject', 'Sentences (Criminal)'), ('subject', 'Biographical Information'), ('subject', 'Discrimination'), ('subject', 'Asian-Americans'), ('subject', 'Hate Crimes')]"
Art/Architecture; Where Miles of Murals Preach a People's Gospel,2002-05-26,article,['Barbara Tannenbaum'],,https://www.nytimes.com/2002/05/26/arts/art-architecture-where-miles-of-murals-preach-a-people-s-gospel.html,Arts and Leisure Desk,News,1345.0,"[('glocations', 'Los Angeles (Calif)'), ('persons', 'Baca, Judith F'), ('subject', 'Murals'), ('subject', 'Mexican-Americans'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Art'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Ethnic Bridges For 3 Minorities On Capitol Hill,2002-05-19,article,['Lynette Clemetson'],,https://www.nytimes.com/2002/05/19/us/ethnic-bridges-for-3-minorities-on-capitol-hill.html,National Desk,News,1400.0,"[('glocations', 'United States'), ('organizations', 'CONGRESS'), ('organizations', 'CONGRESSIONAL ASIAN PACIFIC CAUCUS'), ('organizations', 'Congressional Hispanic Caucus'), ('organizations', 'Congressional Black Caucus'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Notes From Los Angeles; Rebuilding a City One Block at a Time,2002-04-29,article,['Torie Osborn'],,https://www.nytimes.com/2002/04/29/opinion/notes-from-los-angeles-rebuilding-a-city-one-block-at-a-time.html,Editorial Desk,Op-Ed,938.0,"[('glocations', 'Los Angeles (Calif)'), ('subject', 'Police Brutality and Misconduct'), ('subject', 'LABOR'), ('subject', 'Philanthropy'), ('subject', 'Wages and Salaries'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Economic Conditions and Trends'), ('subject', 'Demonstrations and Riots'), ('subject', 'Asian-Americans'), ('subject', 'Police'), ('subject', 'Hispanic-Americans')]"
"An Asian Odyssey, Seconds From the Freeway",2002-04-17,article,['R. Apple'],,https://www.nytimes.com/2002/04/17/dining/an-asian-odyssey-seconds-from-the-freeway.html,"Dining In, Dining Out/Style Desk",News,2662.0,"[('glocations', 'Los Angeles (Calif)'), ('subject', 'Restaurants'), ('subject', 'Asian-Americans')]"
The New Face of the Commuter,2002-04-07,article,['Marek Fuchs'],,https://www.nytimes.com/2002/04/07/nyregion/the-new-face-of-the-commuter.html,Westchester Weekly Desk,News,2556.0,"[('glocations', 'Westchester County (NY)'), ('organizations', 'METRO-NORTH COMMUTER RAILROAD CO'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Women'), ('subject', 'Railroads'), ('subject', 'Asian-Americans'), ('subject', 'Commuting'), ('subject', 'Hispanic-Americans')]"
Racial Gap in Test Scores Found Across New York,2002-03-28,article,['Anemona Hartocollis'],,https://www.nytimes.com/2002/03/28/nyregion/racial-gap-in-test-scores-found-across-new-york.html,Metropolitan Desk,News,1618.0,"[('glocations', 'New York State'), ('glocations', 'New York City'), ('subject', 'Mathematics'), ('subject', 'Education and Schools'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Reading and Writing Skills'), ('subject', 'Tests and Testing'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Weapons Labs Close to Settling A Bias Boycott,2002-03-26,article,['James Glanz'],,https://www.nytimes.com/2002/03/26/us/weapons-labs-close-to-settling-a-bias-boycott.html,National Desk,News,948.0,"[('glocations', 'China'), ('organizations', 'Energy Department'), ('organizations', 'Federal Bureau of Investigation'), ('organizations', 'Lawrence Livermore National Laboratory'), ('organizations', 'SANDIA NATIONAL LABORATORY'), ('organizations', 'Los Alamos National Laboratory'), ('organizations', 'ASIAN PACIFIC AMERICANS IN HIGHER EDUCATION'), ('organizations', 'ASSOCIATION OF ASIAN AMERICAN STUDIES'), ('persons', 'Lee, Wen Ho'), ('persons', 'WANG, L LING-CHI'), ('subject', 'ATOMIC WEAPONS'), ('subject', 'United States International Relations'), ('subject', 'Espionage'), ('subject', 'LABOR'), ('subject', 'Hiring and Promotion'), ('subject', 'Discrimination'), ('subject', 'Chinese-Americans'), ('subject', 'Boycotts'), ('subject', 'Asian-Americans'), ('subject', 'Computers and the Internet'), ('subject', 'UNITED STATES ARMAMENT AND DEFENSE')]"
